,,90%,90%,95%,95%,99%,99%
197,229.3863465,122.9992575,335.7734355,102.2408011,356.5318919,62.02129187,396.7514012
198,278.4711979,170.4984043,386.4439916,149.4305421,407.5118538,108.6115591,448.3308367
199,386.8429265,273.7848715,499.9009816,251.7247632,521.9610899,208.9833034,564.7025497
200,483.3124206,372.8383985,593.7864427,351.2824918,615.3423494,309.5179224,657.1069187
201,298.2192775,184.3401759,412.0983791,162.1198634,434.3186917,119.0680079,477.3705471
202,484.4309551,372.726627,596.1352832,350.9306606,617.9312497,308.7009755,660.1609347
203,318.0285449,208.8166097,427.2404801,187.5069639,448.550126,146.219525,489.8375649
204,276.3291293,169.5734412,383.0848173,148.743063,403.9151955,108.3842054,444.2740532
205,239.8758384,134.3953364,345.3563405,113.813775,365.9379019,73.93699983,405.814677
206,280.3446106,177.2216506,383.4675705,157.1000974,403.5891237,118.1145882,442.574633
207,166.0460699,65.20246288,266.889677,45.52566151,286.5664784,7.401858842,324.690281
208,131.1473215,30.29390368,232.0007392,10.61518801,251.6794549,-27.51232359,289.8069665
209,192.370076,93.12681891,291.6133332,73.76228093,310.9778712,36.2434886,348.4966635
210,95.85191352,-16.45320207,208.1570291,-38.36639536,230.0702224,-80.82320735,272.5270344
211,316.0676406,203.0221736,429.1131076,180.9645215,451.1707597,138.2278206,493.9074607
212,338.2909494,227.7294278,448.8524709,206.1564479,470.4254508,164.3587995,512.2230992
213,333.574257,224.4758366,442.6726773,203.1883399,463.960174,161.9438152,505.2046988
214,319.98853,213.2123398,426.7647203,192.3779613,447.5990988,152.0113528,487.9657073
215,287.481571,183.0066365,391.9565055,162.6212834,412.3418585,123.1246618,451.8384801
216,281.6070258,177.4859251,385.7281265,157.1696127,406.0444389,117.8067576,445.407294
217,179.1644086,76.83093333,281.4978839,56.86342596,301.4653913,18.17638042,340.1524368
218,205.084027,104.3286113,305.8394428,84.66901794,325.4990361,46.57855589,363.5894981
219,194.5546186,96.03902416,293.070213,76.81646915,312.292768,39.57276883,349.5364683
220,171.197648,74.68355431,267.7117417,55.85153602,286.54376,19.3645006,323.0307954
221,179.4731176,85.06155541,273.8846797,66.63978718,292.306448,30.94761125,327.9986239
222,109.5643803,16.36533025,202.7634304,-1.819850253,220.9486109,-37.05363747,256.1823981
223,71.9670291,-19.22952725,163.1635854,-37.02397726,180.9580355,-71.50072417,215.4347824
224,52.43128056,-38.04060424,142.9031654,-55.69365493,160.556216,-89.89644065,194.7590018
225,164.6469945,64.65735644,264.6366326,45.14718316,284.1468059,7.34622242,321.9477666
226,309.8942067,212.3367207,407.4516927,193.3011137,426.4872997,156.4196251,463.3687883
227,258.4896714,162.874966,354.1043768,144.2184381,372.7609047,108.0714153,408.9079275
228,254.1108508,159.6783308,348.5433708,141.2524733,366.9692284,105.5523742,402.6693274
229,284.3166496,191.9761388,376.6571604,173.9584782,394.6748211,139.0492607,429.5840386
230,254.7499518,164.2695234,345.2303803,146.6148056,362.885098,112.40879,397.0911136
231,217.5469952,128.9948485,306.0991419,111.7163809,323.3776095,78.23934981,356.8546406
232,195.8046084,108.1052111,283.5040057,90.99313362,300.6160832,57.83848343,333.7707334
233,221.0779205,131.1234368,311.0324042,113.5713424,328.5844985,79.56415957,362.5916814
234,237.3255825,148.7146923,325.9364727,131.4247625,343.2264025,97.92552352,376.7256414
235,232.6175979,136.643076,328.5921198,117.91634,347.3188558,81.633289,383.6019068
236,292.884257,197.5546436,388.2138703,178.9537434,406.8147705,142.9144994,442.8540146
237,234.3330435,133.4444141,335.2216728,113.7588279,354.907259,75.61800464,393.0480823
238,95.07814588,-3.613151505,193.7694433,-22.86999002,213.0262818,-60.18011464,250.3364064
239,77.503127,-19.00095309,174.0072071,-37.83101749,192.8372715,-74.31426728,229.3205213
240,175.8506256,75.10170394,276.5995472,55.44337776,296.2578734,17.35537081,334.3458803
241,263.9070804,165.5361044,362.2780563,146.3417677,381.4723931,109.1527402,418.6614206
242,223.44746,121.5811528,325.3137671,101.7048002,345.1901198,63.19436696,383.700553
243,285.6374958,182.8337169,388.4412746,162.774443,408.5005485,123.9095998,447.3653917
244,313.1257396,212.6168327,413.6346464,193.0053387,433.2461404,155.0080691,471.24341
245,260.5589547,162.1627692,358.9551401,142.9635135,378.1543958,105.7649556,415.3529537
246,193.7073706,85.74058903,301.6741522,64.67389994,322.7408413,23.85718983,363.5575514
247,288.0622219,181.349968,394.7744759,160.5280648,415.5963791,120.1856273,455.9388166
248,243.5134723,138.5505855,348.4763591,118.0700222,368.9569224,78.38893081,408.6380138
249,224.944114,95.47156124,354.4166667,70.20862413,379.6796038,21.26168346,428.6265445
250,414.4941048,287.5563416,541.431868,262.7879975,566.200212,214.799331,614.1888786
251,392.4552314,258.8520785,526.0583844,232.7831706,552.1272923,182.2746615,602.6358013
252,342.7324542,208.7642963,476.700612,182.624168,502.8407404,131.9776693,553.4872391
253,205.884705,72.69555366,339.0738563,46.70742657,365.0619834,-3.644569657,415.4139796
254,116.1200466,-14.48416812,246.7242613,-39.96791734,272.2080105,-89.34268143,321.5827746
255,210.9631238,80.23731819,341.6889294,54.72984392,367.1964037,5.309112528,416.6171351
256,244.9547867,114.1156503,375.7939231,88.58606271,401.3235107,39.12248674,450.7870867
257,307.3770775,179.192469,435.5616859,154.1808381,460.5733169,105.7208031,509.0333518
258,290.7048254,161.3875586,420.0220921,136.1549212,445.2547295,87.26668622,494.1429645
259,301.9314788,174.5931274,429.2698302,149.7466198,454.1163378,101.6065113,502.2564463
260,278.5752439,153.7853213,403.3651664,129.4360682,427.7144196,82.25939013,474.8910976
261,293.0521874,170.4942152,415.6101597,146.5804645,439.5239104,100.2475726,485.8568023
262,202.428669,81.54988767,323.3074503,57.96378399,346.893554,12.26570813,392.5916298
263,234.0532015,115.7080996,352.3983033,92.61637246,375.4900305,47.87615105,420.2302519
264,303.4425324,187.4167487,419.468316,164.7775715,442.1074933,120.9141654,485.9708993
265,281.0916004,167.0166874,395.1665135,144.7581677,417.4250331,101.632286,460.5509149
266,276.5131732,162.7657001,390.2606463,140.5710712,412.4552752,97.56897765,455.4573688
267,77.05291477,-37.93140263,192.0372322,-60.367367,214.4731965,-103.837048,257.9428775
268,78.61985668,-34.49495419,191.7346675,-56.5661368,213.8058502,-99.3290531,256.5687665
269,108.2017714,-2.618562521,219.0221054,-24.24204231,240.6455851,-66.13753441,282.5410772
270,207.5957697,87.29594445,327.895595,63.82280781,351.3687317,18.34360557,396.8479339
271,319.2392847,198.8487461,439.6298233,175.3579093,463.1206601,129.844413,508.6341564
272,342.2830301,211.1896362,473.376424,185.6104374,498.9556228,136.0507397,548.5153205
273,464.7105081,333.855495,595.5655212,308.3228095,621.0982067,258.8532314,670.5677848
274,342.2554404,208.6197963,475.8910845,182.5445487,501.9663322,132.0237564,552.4871245
275,344.3939945,213.6762958,475.1116931,188.1704034,500.6175855,138.7527369,550.0352521
276,306.763997,166.8130769,446.7149171,139.5055803,474.0224137,86.59730566,526.9306884
277,351.1373672,214.1933854,488.081349,187.4726085,514.8021259,135.7011032,566.5736312
278,349.3600435,206.205198,492.514889,178.2725453,520.4475418,124.1530305,574.5670565
279,434.1220109,287.6556929,580.5883289,259.0768992,609.1671227,203.7054863,664.5385356
280,445.2016333,289.1125115,601.290755,258.6560975,631.747169,199.6467954,690.7564711
281,488.9247123,316.0870877,661.7623368,282.3626732,695.4867513,217.02162,760.8278045
282,516.8930863,343.8803809,689.9057917,310.1218043,723.6643683,244.714562,789.0716106
283,330.0663017,158.3283457,501.8042577,124.8185006,535.3141028,59.89317579,600.2394276
284,200.1972059,28.52534632,371.8690655,-4.971601901,405.3660138,-69.87193907,470.2663509
285,346.1760615,168.9690025,523.3831205,134.3920154,557.9601076,67.39910289,624.9530201
286,240.2553156,52.53581901,427.9748122,15.90762455,464.6030066,-55.0595022,535.5701334
287,388.1699598,204.3074104,572.0325092,168.431791,607.9081286,98.92277846,677.4171412
288,365.8684963,177.2596673,554.4773252,140.4579446,591.279048,69.15460677,662.5823858
289,458.2217975,270.5405114,645.9030835,233.9197727,682.5238222,162.9670914,753.4765035
290,444.6555,261.6354184,627.6755815,225.924183,663.3868169,156.7336644,732.5773355
291,429.2840306,250.6899057,607.8781554,215.8422716,642.7257895,148.3249805,710.2430806
292,358.8839375,182.282023,535.485852,147.8231128,569.9447621,81.05897445,636.7089005
293,400.9274804,227.8297768,574.0251841,194.0546151,607.8003458,128.6152394,673.2397215
294,433.0711243,254.9129845,611.2292641,220.1504206,645.991828,152.7979531,713.3442955
295,317.3681043,143.6031364,491.1330722,109.6977769,525.0384318,44.00614266,590.730066
296,337.846896,167.3046706,508.3891213,134.0281388,541.6656531,69.55485854,606.1389334
297,167.71727,1.18579834,334.2487417,-31.30814735,366.7426874,-94.26516712,429.6997071
298,79.53028273,-83.10711778,242.1676832,-114.8412447,273.9018102,-176.3261156,335.3866811
299,132.2835424,-26.33258139,290.8996663,-57.28206897,321.8491538,-117.2467011,381.813786
300,120.5098997,-34.21424618,275.2340456,-64.40432343,305.4241228,-122.8975981,363.9173975
